r1,r2,a11,a22,a12,a21,N1_eq,N2_eq,SoS1,SoS2,nu,nu_CE,rare_species,self_limitation,rare_extinction_rate,common_extinction_rate,mean_coexistence_time
3.7,3.3,2.3,1.9,1.7,0.37,0.35,1.1,1.1,2.6,0.57,1.696497090495389,species1_rare,weak,0.5,0.27,1.6
15.0,4.0,2.3,1.0,0.91,0.26,5.7,1.5,1.1,5.8,-9.9,16.05647229161291,species2_rare,strong,0.93,0.062,6.2
14.0,2.4,2.3,0.99,0.28,0.043,5.8,1.2,1.7,11.0,-22.0,48.157509051424405,species2_rare,strong,0.98,0.016,4.3
8.6,9.8,0.92,1.8,0.57,0.88,7.6,1.2,2.6,1.0,5.0,22.193237036472386,species2_rare,weak,0.93,0.065,7.5
3.5,15.0,0.56,0.79,0.1,0.26,1.3,18.0,5.4,1.6,-31.0,367.12830520665767,species1_rare,strong,1.0,0.0,6.9
3.8,3.2,2.4,2.0,2.1,1.8,1.0,0.15,0.98,1.2,-0.11,0.10574661769197227,species2_rare,strong,0.34,0.33,1.4
5.6,9.0,2.9,1.6,0.57,2.1,0.79,4.0,2.3,1.3,-1.7,-1.1401759086759504,species1_rare,strong,0.69,0.24,2.8
7.6,13.0,2.7,2.9,0.95,0.18,0.95,4.2,2.7,5.3,4.2,105.16084831716717,species1_rare,weak,0.92,0.059,4.0
15.0,8.5,0.87,3.0,1.6,0.37,15.0,0.7,1.6,2.2,-3.6,10.753936803667656,species2_rare,strong,0.99,0.01,5.1
9.9,16.0,1.9,2.8,1.5,1.8,1.2,4.4,1.8,1.0,-1.2,4.219274071577809,species1_rare,strong,0.68,0.3,5.4
12.0,10.0,2.5,2.9,0.82,1.5,4.2,1.0,2.9,1.6,2.1,14.092871400758199,species2_rare,weak,0.83,0.15,4.6
16.0,9.0,0.51,1.6,1.5,0.049,17.0,4.5,1.1,6.6,-35.0,-799.2513898763385,species2_rare,strong,0.97,0.028,53.0
17.0,19.0,2.0,0.94,0.27,0.18,5.5,18.0,3.0,7.2,26.0,332.67727096273694,species1_rare,weak,1.0,0.0,77.0
14.0,19.0,0.86,0.2,0.14,0.13,0.76,91.0,1.4,4.9,160.0,5547.740639915123,species1_rare,weak,1.0,0.0,12.0
9.2,9.6,1.7,2.8,0.42,1.6,4.6,0.49,4.2,1.1,6.3,31.439478965473945,species2_rare,weak,0.89,0.091,4.3
14.0,16.0,2.9,2.9,2.5,1.3,0.085,4.9,1.1,2.0,2.1,16.10711510533149,species1_rare,weak,0.83,0.15,4.8
12.0,17.0,1.8,1.0,0.26,0.46,4.3,13.0,3.4,3.1,-1.4,5.5030495830175745,species1_rare,strong,1.0,0.0,34.0
20.0,4.2,1.5,1.4,1.2,0.21,12.0,0.47,1.1,5.3,-25.0,64.98496758647404,species2_rare,strong,1.0,0.0015,4.4
5.5,7.2,1.9,1.6,0.87,2.4,2.2,0.56,1.7,0.81,0.71,1.0978283079767004,species2_rare,weak,0.49,0.4,2.6
14.0,11.0,2.0,0.79,0.66,0.44,2.7,11.0,1.2,3.7,9.9,35.492586755816106,species1_rare,weak,0.99,0.01,13.0
5.6,4.1,2.5,1.3,1.7,0.35,0.27,2.2,0.82,3.4,2.6,6.615817622395836,species1_rare,weak,0.67,0.21,2.2
20.0,3.0,0.89,1.4,0.072,0.016,21.0,1.2,2.7,15.0,-120.0,1476.3849382704318,species2_rare,strong,1.0,0.0,4.2
4.2,13.0,2.7,2.5,0.38,1.3,0.52,4.7,4.6,1.7,-6.2,9.806311150456692,species1_rare,strong,0.91,0.059,2.6
4.8,5.8,2.1,2.8,1.2,2.3,1.6,0.39,1.9,0.93,0.58,0.731840824756354,species2_rare,weak,0.48,0.32,1.8
3.6,6.9,1.5,1.4,0.44,1.9,0.76,3.3,2.4,0.84,-2.0,-0.07228093046003557,species1_rare,strong,0.57,0.34,2.6
5.5,12.0,2.8,1.1,0.34,0.45,0.44,9.7,2.8,3.2,1.9,91.48632836700457,species1_rare,weak,1.0,0.0015,3.2
8.5,2.2,1.6,1.2,2.7,0.031,3.1,0.92,0.58,7.5,-7.4,-33.73162893030637,species2_rare,strong,0.57,0.3,2.5
7.5,16.0,2.7,1.4,0.42,0.078,0.72,11.0,2.9,6.3,17.0,957.9468039389327,species1_rare,weak,1.0,0.0005,4.0
4.0,7.8,1.9,1.9,0.58,0.45,0.55,3.3,2.6,2.3,-0.32,16.361131977405766,species1_rare,strong,0.84,0.11,2.8
13.0,17.0,2.7,1.7,0.84,1.2,1.9,7.9,1.9,2.0,0.43,12.311154699455056,species1_rare,weak,0.95,0.044,8.7
8.7,7.6,1.3,1.4,1.6,0.88,0.69,4.2,0.89,1.4,0.96,2.824697880619855,species1_rare,weak,0.58,0.39,4.8
7.4,6.3,2.4,2.8,0.77,1.5,2.4,0.65,2.6,1.5,0.91,4.724612544684986,species2_rare,weak,0.65,0.25,2.5
8.8,4.1,1.3,1.6,2.9,0.5,4.7,0.48,0.61,2.3,-3.5,0.42739121012147924,species2_rare,strong,0.52,0.39,2.7
13.0,1.6,1.7,0.88,0.29,0.057,7.0,0.28,1.4,9.4,-27.0,124.67699267169638,species2_rare,strong,0.99,0.004,2.9
6.2,7.2,2.5,2.6,2.1,0.71,0.17,2.3,1.2,2.5,1.4,7.026037403470928,species1_rare,weak,0.65,0.24,2.3
19.0,18.0,1.7,1.7,0.37,1.3,10.0,2.4,3.8,1.3,9.6,136.70293647581724,species2_rare,weak,1.0,0.002,12.0
5.3,2.7,1.4,1.6,0.99,0.2,2.5,0.74,1.3,3.3,-1.7,-1.7394767026529139,species2_rare,strong,0.63,0.26,2.3
9.9,12.0,2.1,1.8,1.2,0.061,0.71,6.0,1.4,7.9,17.0,456.59310282198373,species1_rare,weak,0.98,0.018,5.2
15.0,17.0,2.6,2.3,0.25,2.4,5.3,1.7,6.2,1.1,9.3,84.67244517761677,species2_rare,weak,0.94,0.059,8.4
6.2,3.9,1.9,2.5,0.95,0.83,2.5,0.35,1.8,1.9,-0.076,3.68230754652229,species2_rare,strong,0.67,0.21,2.1
16.0,5.4,1.4,2.7,0.15,0.36,10.0,0.25,4.4,3.3,5.6,486.45100561500664,species2_rare,weak,1.0,0.0,3.1
5.3,11.0,3.0,2.0,0.48,0.75,0.71,4.6,3.2,2.5,-1.2,14.18853063461169,species1_rare,strong,0.92,0.052,3.1
14.0,3.2,1.9,3.0,2.0,0.013,6.5,0.72,1.3,13.0,-35.0,-459.98688316623867,species2_rare,strong,0.95,0.032,2.4
19.0,12.0,1.2,0.89,0.21,0.68,15.0,0.78,3.3,1.7,12.0,517.5911175719785,species2_rare,weak,1.0,0.0,10.0
20.0,11.0,2.9,2.6,1.2,1.6,6.4,0.078,2.0,1.8,0.54,36.899260093815876,species2_rare,weak,0.95,0.04,5.1
19.0,17.0,2.9,2.6,2.4,1.0,1.6,5.5,1.1,2.6,3.0,16.31059364589999,species1_rare,weak,0.85,0.14,8.1
19.0,16.0,1.9,0.62,0.53,0.54,3.5,22.0,1.2,3.0,17.0,84.47016686923193,species1_rare,weak,1.0,0.001,19.0
9.6,11.0,2.4,0.81,0.66,0.4,0.22,12.0,1.2,3.9,16.0,125.50871087973321,species1_rare,weak,1.0,0.0005,5.1
19.0,6.4,1.1,2.7,1.6,0.076,14.0,1.6,1.5,8.6,-42.0,-275.0933547018783,species2_rare,strong,1.0,0.0025,5.6
7.0,14.0,2.3,2.8,1.2,1.5,0.39,4.3,2.2,1.4,-1.5,10.070301937518623,species1_rare,strong,0.81,0.16,3.5
12.0,7.1,2.2,0.26,0.33,0.064,1.7,23.0,0.81,9.4,91.0,838.4496478825196,species1_rare,weak,1.0,0.0,8.3
6.8,20.0,0.36,2.9,0.42,1.1,15.0,0.77,5.3,0.37,36.0,44.560391247820576,species2_rare,weak,0.98,0.021,10.0
8.5,14.0,1.9,2.5,1.3,1.1,0.61,4.9,1.8,1.6,-0.39,14.995706855024665,species1_rare,strong,0.84,0.14,4.9
13.0,1.4,2.8,2.1,0.24,0.018,4.4,0.13,1.3,12.0,-24.0,76.64715868255104,species2_rare,strong,0.97,0.011,1.7
7.3,6.5,1.9,2.7,1.0,1.5,3.1,0.28,2.1,1.2,1.2,5.2183344685937145,species2_rare,weak,0.68,0.23,2.6
2.8,2.3,2.5,2.9,0.19,0.91,0.7,0.22,2.1,1.7,0.093,2.0482057539451124,species2_rare,weak,0.44,0.21,1.3
19.0,11.0,2.0,2.4,1.5,1.0,8.5,0.43,1.5,1.9,-1.5,28.527647812372436,species2_rare,strong,0.96,0.035,6.1
18.0,19.0,0.73,2.4,0.031,0.17,23.0,5.9,15.0,3.6,100.0,4032.838334863249,species2_rare,weak,0.97,0.0,140.0
3.1,13.0,1.8,2.6,0.16,0.67,0.75,4.5,7.4,1.7,-11.0,16.782112326871115,species1_rare,strong,0.94,0.043,3.0
9.7,3.1,0.26,0.95,2.2,0.062,33.0,0.066,0.54,3.1,-43.0,22.17115855560224,species2_rare,strong,0.85,0.14,5.2
4.3,5.7,0.74,2.1,0.4,0.76,4.0,0.78,3.0,0.98,3.3,6.878848487786718,species2_rare,weak,0.79,0.17,3.6
7.3,13.0,1.1,1.4,0.23,2.1,5.7,0.091,4.3,0.57,10.0,52.634554664993914,species2_rare,weak,0.89,0.11,7.5
20.0,7.9,2.0,1.1,2.4,0.064,2.0,6.2,0.49,12.0,25.0,203.83050021792639,species1_rare,weak,0.97,0.033,10.0
14.0,19.0,2.2,1.2,0.41,0.0087,3.2,15.0,2.7,13.0,64.0,12166.417206385297,species1_rare,weak,1.0,0.0,15.0
14.0,15.0,2.0,2.4,0.068,2.1,6.5,0.44,11.0,0.97,30.0,555.9935973418878,species2_rare,weak,0.99,0.006,5.9
11.0,7.2,1.6,2.8,1.9,0.87,5.6,0.48,1.4,1.7,-0.78,5.5425634148116565,species2_rare,strong,0.79,0.17,3.6
5.8,18.0,1.9,1.8,0.37,0.28,0.64,9.7,4.0,3.4,-2.7,260.05518281066435,species1_rare,strong,1.0,0.001,4.2
6.1,6.0,2.1,3.0,2.4,1.9,1.9,0.48,1.2,1.1,0.074,0.1794343736424525,species2_rare,weak,0.44,0.37,1.8
3.4,19.0,1.3,2.9,0.23,0.96,0.76,5.8,7.7,1.2,-16.0,31.52063078676012,species1_rare,strong,0.97,0.026,3.9
7.3,18.0,2.3,0.99,0.055,2.4,2.5,11.0,9.3,0.96,-37.0,-409.09097090044656,species1_rare,strong,0.95,0.043,10.0
14.0,19.0,2.7,1.0,0.39,2.0,3.2,11.0,2.4,1.3,-4.5,-48.34600977137679,species1_rare,strong,0.93,0.073,17.0
2.1,18.0,2.7,3.0,0.037,2.4,0.34,5.6,15.0,1.1,-36.0,-46.69797139549868,species1_rare,strong,0.94,0.031,1.8
7.9,8.3,2.0,3.0,2.6,0.1,0.28,2.4,1.1,5.9,5.1,74.60011383794316,species1_rare,weak,0.73,0.2,2.9
18.0,16.0,1.9,2.9,0.65,1.5,8.6,0.76,3.7,1.3,9.4,77.29267513508508,species2_rare,weak,1.0,0.003,6.6
10.0,4.4,2.2,2.7,2.4,0.18,3.2,1.0,1.1,5.9,-5.2,-13.16871028373104,species2_rare,strong,0.68,0.23,2.7
17.0,12.0,2.1,1.7,0.76,1.2,7.1,1.8,2.0,1.7,0.73,32.94133108183513,species2_rare,weak,0.96,0.034,9.5
15.0,18.0,2.5,1.1,0.94,0.12,0.021,15.0,1.2,9.2,61.0,1049.4464745544462,species1_rare,weak,1.0,0.0,5.6
14.0,16.0,0.34,2.6,1.7,0.31,25.0,2.6,1.5,1.1,4.9,-74.336292870212,species2_rare,weak,0.89,0.11,16.0
13.0,17.0,1.7,2.1,1.4,0.93,0.86,7.2,1.4,1.7,0.94,30.18455425839809,species1_rare,weak,0.93,0.066,8.2
9.8,12.0,1.2,1.9,0.87,1.2,6.0,2.0,2.0,0.99,2.1,5.4562940123249755,species2_rare,weak,0.76,0.23,8.5
8.7,4.3,2.7,2.8,0.33,0.4,2.7,0.81,3.1,4.1,-0.97,16.290515484739974,species2_rare,strong,0.81,0.14,2.6
16.0,7.2,1.9,2.1,2.6,0.74,7.8,0.2,0.84,2.3,-5.6,9.64798098353344,species2_rare,strong,0.81,0.18,4.8
4.7,17.0,2.8,2.9,0.46,2.5,0.47,5.1,4.9,1.1,-8.8,6.1949724443921435,species1_rare,strong,0.88,0.084,2.8
20.0,8.6,1.7,2.7,0.0097,0.26,11.0,1.8,8.3,5.2,15.0,8927.7875891732,species2_rare,weak,1.0,0.0,6.7
20.0,2.1,1.6,2.0,0.66,0.067,11.0,0.17,1.5,11.0,-55.0,131.00134785831438,species2_rare,strong,1.0,0.0005,2.2
16.0,14.0,2.8,2.6,2.6,1.1,1.4,4.4,1.0,2.3,2.0,8.148033208666071,species1_rare,weak,0.74,0.24,6.2
19.0,16.0,1.6,0.65,0.48,0.4,5.4,19.0,1.3,3.4,15.0,76.27627506381194,species1_rare,weak,1.0,0.0,37.0
15.0,9.5,2.3,1.3,1.7,0.48,1.8,5.8,0.78,3.9,6.1,19.698541672429222,species1_rare,weak,0.87,0.12,8.8
15.0,12.0,0.95,1.8,1.3,0.62,12.0,2.3,1.3,1.5,-0.93,4.2728565995019006,species2_rare,strong,0.91,0.088,13.0
9.6,3.2,1.0,1.9,0.45,0.041,7.9,1.0,2.1,7.1,-17.0,-95.201844764183,species2_rare,strong,0.99,0.0055,3.5
16.0,4.6,2.4,2.8,1.4,0.26,5.6,0.79,1.6,6.1,-11.0,3.480592804159995,species2_rare,strong,0.94,0.043,3.2
11.0,1.6,0.51,2.8,2.0,0.027,21.0,0.029,1.1,7.3,-63.0,21.45470677410054,species2_rare,strong,0.98,0.009,1.6
15.0,10.0,2.3,1.0,1.3,0.14,0.83,8.9,0.81,8.0,29.0,244.37953742814304,species1_rare,weak,1.0,0.004,7.0
19.0,4.5,2.4,2.8,1.3,0.44,7.6,0.065,1.7,4.4,-10.0,48.37030665645736,species2_rare,strong,0.98,0.011,2.7
4.6,10.0,1.2,2.5,0.81,0.49,0.53,3.6,2.6,1.9,-1.0,24.132857525521562,species1_rare,strong,0.84,0.13,3.8
4.4,11.0,1.8,2.3,0.54,1.7,0.76,3.8,3.3,1.0,-3.4,3.2412018691342426,species1_rare,strong,0.76,0.2,3.2
6.0,18.0,2.9,1.5,0.062,1.9,1.5,9.3,11.0,1.4,-36.0,-241.52767507293885,species1_rare,strong,0.98,0.017,4.8
11.0,18.0,1.2,2.7,1.5,0.34,0.54,6.4,1.7,2.9,3.7,125.57331880757894,species1_rare,weak,0.98,0.019,7.6
13.0,13.0,0.54,2.2,0.88,0.22,15.0,4.1,2.3,2.2,0.12,-152.41699685119065,species2_rare,weak,0.99,0.01,31.0
14.0,4.0,2.5,2.1,0.11,0.099,5.1,1.2,3.4,9.3,-12.0,187.35616263443617,species2_rare,strong,0.97,0.021,3.9
9.1,5.1,2.2,2.2,1.5,0.91,3.4,0.47,1.4,2.1,-1.0,4.176015356267461,species2_rare,strong,0.7,0.23,2.7
11.0,14.0,2.2,3.0,2.1,0.55,0.27,4.3,1.4,3.1,3.5,37.36186144878589,species1_rare,weak,0.88,0.1,4.4
3.7,18.0,1.6,2.6,0.3,2.8,0.57,6.0,6.1,0.66,-15.0,5.693852746559252,species1_rare,strong,0.89,0.089,3.5
5.5,1.4,2.5,1.5,2.2,0.13,1.7,0.1,0.88,4.5,-2.9,0.487055520482494,species2_rare,strong,0.48,0.23,1.5
5.0,6.5,2.0,1.0,0.29,0.3,1.2,5.1,2.5,3.1,1.3,16.18115491073005,species1_rare,weak,0.93,0.058,4.3
12.0,6.1,2.3,1.1,0.044,1.0,4.8,0.053,5.1,2.0,7.2,599.5095873424409,species2_rare,weak,0.95,0.036,4.7
10.0,12.0,1.8,0.99,0.85,0.53,0.22,11.0,1.2,2.7,8.2,74.92990842877423,species1_rare,weak,0.99,0.009,6.8
16.0,15.0,2.6,0.34,0.15,1.6,4.4,20.0,2.0,1.6,-3.3,-393.971504669631,species1_rare,strong,0.93,0.074,38.0
19.0,7.7,2.6,2.4,0.83,0.78,6.7,0.61,2.3,2.9,-1.9,51.43305973817603,species2_rare,strong,0.98,0.017,4.5
2.6,13.0,0.64,2.1,0.26,0.12,0.21,5.7,5.2,2.0,-8.8,270.6756817134607,species1_rare,strong,0.98,0.015,4.2
14.0,15.0,0.54,2.9,0.55,0.14,21.0,3.9,4.1,3.2,7.5,-456.8303384659257,species2_rare,weak,1.0,0.0,31.0
8.3,11.0,2.7,2.1,1.1,1.0,0.85,4.4,1.7,2.2,0.78,9.815193530021032,species1_rare,weak,0.82,0.15,4.1
13.0,6.2,0.91,2.8,0.84,0.38,14.0,0.021,2.4,2.2,1.7,85.84044136677447,species2_rare,weak,1.0,0.001,3.5
18.0,5.6,1.3,2.8,0.92,0.041,12.0,1.5,2.2,12.0,-52.0,-426.22463526335315,species2_rare,strong,1.0,0.0005,4.9
18.0,2.3,2.8,0.37,0.52,0.11,5.8,1.7,0.82,11.0,-21.0,50.28052439779753,species2_rare,strong,0.96,0.033,7.5
15.0,17.0,2.8,1.2,0.83,1.6,1.7,11.0,1.4,1.7,1.4,6.121275567491796,species1_rare,weak,0.94,0.059,9.8
16.0,12.0,2.3,2.7,0.84,1.4,5.9,1.1,2.7,1.6,2.6,27.566792289625898,species2_rare,weak,0.93,0.061,6.2
12.0,11.0,0.66,2.6,1.6,0.5,15.0,0.88,1.6,1.3,2.0,6.550103198741524,species2_rare,weak,0.94,0.059,7.5
7.7,18.0,2.7,1.4,0.49,0.11,0.18,13.0,2.5,6.1,22.0,1003.7205726530652,species1_rare,weak,1.0,0.0,3.7
5.6,5.1,2.4,0.99,0.98,0.42,0.26,4.0,1.0,3.1,4.0,13.857682587900134,species1_rare,weak,0.84,0.12,2.9
11.0,13.0,0.97,1.6,1.1,1.1,10.0,0.61,1.5,0.93,2.6,11.640226453475822,species2_rare,weak,0.78,0.21,10.0
9.3,17.0,0.7,2.8,0.0027,1.0,12.0,1.4,17.0,0.72,82.0,16010.97460368439,species2_rare,weak,1.0,0.0,7.2
12.0,19.0,1.1,2.2,0.4,1.6,9.5,1.3,4.4,0.69,15.0,69.46495569097596,species2_rare,weak,0.99,0.0065,10.0
16.0,16.0,2.8,2.3,2.0,2.8,4.7,0.8,1.2,1.0,0.36,1.935335289862565,species2_rare,weak,0.55,0.43,5.7
17.0,18.0,1.8,1.6,0.92,1.7,8.6,1.1,1.7,1.0,2.4,26.682565319335716,species2_rare,weak,0.9,0.095,12.0
12.0,3.8,1.8,2.7,1.0,0.18,5.8,0.65,1.9,5.8,-10.0,1.0785917208015365,species2_rare,strong,0.96,0.03,2.7
8.1,8.8,1.6,2.5,0.48,1.1,4.2,1.3,3.5,1.4,3.1,12.628179973601263,species2_rare,weak,0.81,0.16,4.9
7.5,10.0,3.0,1.2,0.59,1.6,0.8,7.1,1.8,1.7,-0.34,2.559786427905964,species1_rare,strong,0.88,0.11,4.1
6.9,14.0,2.7,2.0,0.82,1.9,0.25,6.4,2.2,1.4,-2.6,12.734895614632807,species1_rare,strong,0.89,0.086,3.7
4.7,18.0,2.0,2.4,0.43,0.042,0.39,6.9,4.4,4.4,-0.1,1264.8255596307536,species1_rare,strong,0.99,0.005,3.3
15.0,15.0,2.0,2.4,0.16,1.4,7.3,1.7,7.8,1.4,18.0,223.0006280455615,species2_rare,weak,0.99,0.005,8.2
14.0,16.0,2.6,1.9,1.4,0.98,1.3,6.9,1.4,2.3,2.7,22.85507290571198,species1_rare,weak,0.94,0.059,7.5
17.0,9.6,2.9,2.2,0.62,1.2,5.4,0.89,2.8,2.2,1.5,47.484290098324315,species2_rare,weak,0.94,0.046,5.4
18.0,6.1,1.7,1.0,2.9,0.45,7.4,1.6,0.4,3.2,-8.1,0.34568971154921657,species2_rare,strong,0.62,0.37,7.4
11.0,13.0,2.9,1.7,1.0,0.16,1.1,6.9,1.6,7.1,16.0,192.78310394191095,species1_rare,weak,0.99,0.008,5.3
6.7,3.2,1.6,1.1,1.1,0.59,3.5,0.14,1.0,2.1,-1.9,4.934800717310476,species2_rare,strong,0.65,0.27,2.8
10.0,12.0,0.89,2.3,0.55,1.0,10.0,0.46,3.3,0.89,12.0,54.53150616829416,species2_rare,weak,0.99,0.005,6.5
20.0,13.0,1.3,2.0,1.4,0.83,14.0,0.41,1.4,1.5,-0.98,46.47345037565913,species2_rare,strong,0.99,0.013,8.7
10.0,18.0,2.8,2.8,1.4,0.022,0.3,6.1,1.9,9.6,22.0,2326.1419912276183,species1_rare,weak,0.99,0.008,4.1
5.0,12.0,0.68,2.0,0.68,0.75,0.92,5.0,2.6,0.92,-3.3,16.226530479376258,species1_rare,strong,0.81,0.18,6.6
7.9,12.0,2.6,0.65,0.16,1.0,1.8,15.0,3.2,2.1,-7.2,-110.46537031094502,species1_rare,strong,0.99,0.005,7.2
12.0,10.0,1.6,0.36,0.21,0.39,3.9,22.0,1.6,3.2,15.0,-69.72484756622282,species1_rare,weak,1.0,0.0005,23.0
3.4,18.0,1.3,2.9,0.27,2.2,0.78,5.2,7.0,0.67,-14.0,5.862115838812191,species1_rare,strong,0.86,0.11,3.8
13.0,11.0,2.3,2.9,1.8,1.7,4.4,0.95,1.5,1.3,0.34,3.5904078069830376,species2_rare,weak,0.69,0.28,4.5
8.6,2.8,2.6,2.3,2.4,0.36,2.6,0.36,0.97,4.2,-3.6,0.506147521424319,species2_rare,strong,0.62,0.22,1.9
12.0,12.0,2.4,1.9,1.7,0.38,0.77,5.4,1.1,4.4,7.7,51.89485908151495,species1_rare,weak,0.95,0.049,5.7
16.0,5.0,0.96,0.69,0.62,0.12,14.0,3.5,1.1,5.7,-23.0,-0.40960180629032616,species2_rare,strong,1.0,0.0015,18.0
8.2,18.0,2.4,0.9,0.028,0.26,2.8,18.0,12.0,4.5,-55.0,-1347.6265287039128,species1_rare,strong,1.0,0.0,15.0
18.0,15.0,3.0,1.3,1.4,0.88,1.2,9.7,0.92,3.0,8.9,34.923462419525364,species1_rare,weak,0.98,0.023,8.5
1.9,1.4,3.0,2.6,0.66,1.2,0.28,0.034,1.3,1.4,-0.011,0.13498221316836395,species2_rare,strong,0.29,0.21,1.1
19.0,7.5,2.8,0.32,0.19,0.98,6.2,1.5,1.5,2.6,-2.6,168.23689452337356,species2_rare,strong,0.95,0.044,13.0
15.0,4.5,1.6,2.9,2.6,0.05,7.3,1.1,1.1,11.0,-30.0,-179.96662633814523,species2_rare,strong,0.93,0.054,3.3
13.0,17.0,2.9,2.1,0.85,0.15,1.9,7.4,2.3,7.8,15.0,262.30086517407545,species1_rare,weak,0.99,0.007,7.8
5.3,15.0,2.2,2.8,0.83,2.6,0.2,4.7,2.9,0.89,-4.6,7.062938781097841,species1_rare,strong,0.79,0.17,3.0
14.0,15.0,2.3,2.0,1.5,0.33,1.1,6.9,1.3,4.8,10.0,103.65524863587454,species1_rare,weak,0.98,0.015,6.9
17.0,8.4,1.5,1.9,1.0,0.44,9.9,1.6,1.7,2.9,-5.1,25.730502177038506,species2_rare,strong,1.0,0.0035,7.6
13.0,4.7,2.3,2.9,2.3,0.52,4.9,0.39,1.2,3.5,-5.2,4.881758387767566,species2_rare,strong,0.83,0.12,2.6
6.0,9.9,3.0,2.5,1.3,1.6,0.16,3.4,1.7,1.7,-0.12,6.093907321636935,species1_rare,strong,0.73,0.2,2.5
19.0,7.1,2.2,1.3,1.2,0.59,7.5,1.3,1.1,3.3,-6.7,27.300396513354364,species2_rare,strong,0.97,0.031,7.2
7.4,17.0,1.2,2.3,0.87,0.9,0.55,6.6,2.4,1.3,-3.4,34.34457754571819,species1_rare,strong,0.94,0.06,6.6
