r1,r2,a11,a22,a12,a21,N1_eq,N2_eq,SoS1,SoS2,nu,nu_CE,rare_species,self_limitation,rare_extinction_rate,common_extinction_rate,mean_coexistence_time
4.4,3.9,2.9,2.7,0.11,2.1,1.2,0.17,3.5,1.3,1.1,14.490929029851205,species2_rare,weak,0.56,0.21,1.6
7.1,18.0,2.9,0.88,0.14,1.0,1.3,18.0,4.9,2.3,-22.0,-95.13765206784323,species1_rare,strong,1.0,0.0,5.1
18.0,16.0,2.7,0.55,0.33,0.37,3.4,24.0,1.6,5.4,39.0,70.46064052078052,species1_rare,weak,1.0,0.0,18.0
4.0,7.1,2.1,2.4,0.91,0.2,0.34,2.6,2.1,3.1,1.1,30.987258865779577,species1_rare,weak,0.79,0.13,2.4
9.3,8.3,1.3,2.5,1.5,1.0,5.7,0.61,1.5,1.2,0.75,4.482925804839626,species2_rare,weak,0.73,0.25,4.3
3.1,11.0,2.8,0.66,0.04,2.6,0.54,13.0,6.9,1.1,-37.0,-212.01898313771747,species1_rare,strong,0.93,0.045,2.3
5.5,5.6,2.8,2.5,2.0,1.1,0.41,1.7,1.2,2.0,0.51,1.3751824355880142,species1_rare,weak,0.52,0.3,1.9
18.0,4.9,2.8,2.5,0.27,0.15,5.9,1.2,3.4,9.5,-14.0,93.40764830141948,species2_rare,strong,0.98,0.015,4.2
17.0,6.7,1.5,1.4,0.79,0.5,11.0,0.15,1.6,2.7,-5.9,88.37100185010395,species2_rare,strong,1.0,0.0015,5.6
12.0,6.0,0.57,2.8,2.0,0.22,17.0,0.38,1.3,2.2,-8.2,1.1007128931659251,species2_rare,strong,0.95,0.042,4.0
6.5,5.7,0.85,0.9,1.0,0.22,0.36,5.1,0.9,2.7,4.3,34.393667093445785,species1_rare,weak,0.86,0.13,6.1
12.0,7.7,1.2,3.0,0.4,0.63,8.8,0.41,4.0,1.8,9.2,96.24994087980899,species2_rare,weak,1.0,0.0015,3.8
8.3,14.0,2.4,2.5,1.1,0.24,0.71,5.3,2.1,4.8,6.0,116.442360712817,species1_rare,weak,0.97,0.026,4.4
16.0,5.6,1.9,2.4,0.89,0.14,7.4,1.5,2.1,7.8,-17.0,-30.966535792126006,species2_rare,strong,0.99,0.011,5.4
11.0,8.7,2.3,2.2,0.44,1.3,4.4,0.8,3.4,1.6,3.3,34.33850880131951,species2_rare,weak,0.89,0.095,4.9
20.0,6.1,2.4,1.8,0.51,0.28,7.5,1.6,2.5,6.2,-11.0,72.57929574425614,species2_rare,strong,0.99,0.006,6.3
3.0,13.0,1.9,2.5,0.37,0.094,0.074,5.0,4.7,2.7,-4.8,319.4442082224749,species1_rare,strong,0.98,0.013,2.4
11.0,2.6,0.4,2.9,0.54,0.046,24.0,0.17,2.0,5.0,-36.0,80.21061818464685,species2_rare,strong,1.0,0.0005,2.0
20.0,12.0,0.56,1.6,0.81,0.047,25.0,5.9,1.8,7.7,-56.0,-1674.9099798300997,species2_rare,strong,0.93,0.0,170.0
8.4,2.6,2.7,1.2,0.15,0.49,2.7,0.22,2.2,3.6,-1.8,57.99888024091897,species2_rare,strong,0.81,0.13,2.5
13.0,13.0,3.0,2.6,1.2,2.6,3.6,0.93,2.0,1.1,1.2,6.212366879922514,species2_rare,weak,0.67,0.29,4.4
16.0,14.0,2.6,1.9,1.6,0.21,1.7,6.5,1.2,7.1,14.0,121.19142115662065,species1_rare,weak,0.98,0.018,7.8
5.3,10.0,1.9,2.1,0.91,1.1,0.25,4.2,2.1,1.6,-0.94,11.622950466863964,species1_rare,strong,0.83,0.13,3.2
15.0,14.0,1.3,2.2,0.64,0.82,9.6,2.6,2.9,1.5,4.8,36.599221627123455,species2_rare,weak,0.99,0.008,13.0
12.0,16.0,2.3,0.23,0.039,0.48,3.8,55.0,4.5,3.7,-22.0,-4991.363305928052,species1_rare,strong,1.0,0.0,31.0
5.9,2.2,1.3,1.6,2.2,0.087,2.6,0.65,0.81,4.4,-3.6,-9.054243698386129,species2_rare,strong,0.54,0.3,2.0
14.0,18.0,2.3,2.6,1.7,1.8,1.4,5.6,1.5,1.2,-0.57,6.054091871045174,species1_rare,strong,0.74,0.25,7.4
14.0,5.2,2.6,1.8,1.1,0.53,4.4,1.0,1.5,3.8,-4.0,11.402516065835592,species2_rare,strong,0.86,0.12,4.1
19.0,11.0,2.1,1.8,0.15,0.77,8.3,1.8,5.9,2.5,11.0,370.1363032620446,species2_rare,weak,1.0,0.0005,8.1
16.0,15.0,2.6,2.3,2.5,1.5,0.57,5.5,0.93,1.7,1.9,7.830890704427234,species1_rare,weak,0.73,0.26,6.3
2.5,18.0,1.5,2.7,0.046,1.2,0.84,5.9,14.0,1.1,-32.0,-31.88749796088439,species1_rare,strong,0.97,0.024,3.1
12.0,4.4,2.4,3.0,0.6,0.25,4.3,0.78,2.6,5.5,-5.0,13.190241828159584,species2_rare,strong,0.92,0.053,2.8
18.0,19.0,2.6,1.7,1.6,2.6,2.0,7.2,1.1,1.0,-0.15,0.23545597592005987,species1_rare,strong,0.53,0.47,8.5
17.0,15.0,0.88,2.7,0.24,0.76,18.0,0.048,6.7,1.1,50.0,561.3139490769784,species2_rare,weak,1.0,0.0,5.6
13.0,19.0,2.8,1.5,0.76,2.8,1.9,8.1,1.9,1.0,-2.8,-4.158389286035045,species1_rare,strong,0.79,0.2,8.5
18.0,18.0,2.8,2.7,1.9,0.5,1.8,5.9,1.4,4.4,6.3,51.66998710089066,species1_rare,weak,0.95,0.043,8.2
5.0,14.0,2.4,0.64,0.016,0.41,1.5,19.0,10.0,3.0,-66.0,-1776.505741416573,species1_rare,strong,1.0,0.0,5.1
8.4,4.5,2.8,1.5,1.6,1.2,2.4,0.4,0.98,2.0,-1.1,2.205768557815316,species2_rare,strong,0.54,0.34,2.5
15.0,3.2,1.9,1.7,2.6,0.015,5.6,1.3,0.73,14.0,-28.0,-294.5988520999093,species2_rare,strong,0.87,0.1,3.7
12.0,11.0,2.4,2.4,0.21,1.9,4.7,0.61,6.0,1.2,9.7,96.10431066044303,species2_rare,weak,0.93,0.057,5.0
6.9,3.0,0.36,2.7,0.97,0.097,16.0,0.16,1.7,2.7,-7.3,9.801779796902371,species2_rare,strong,0.97,0.015,2.3
8.1,14.0,1.5,2.5,1.2,1.2,1.0,4.8,2.0,1.2,-1.4,10.677791472675679,species1_rare,strong,0.8,0.18,5.9
16.0,19.0,2.6,2.8,2.2,1.9,0.32,6.2,1.2,1.4,0.34,11.108197067072794,species1_rare,weak,0.79,0.2,6.4
15.0,14.0,0.71,2.3,0.48,0.27,18.0,3.7,3.8,2.4,10.0,-34.79357169925307,species2_rare,weak,1.0,0.0,23.0
3.7,7.1,1.9,0.96,0.29,0.13,0.46,6.2,2.5,3.1,1.7,119.29999046244627,species1_rare,weak,0.99,0.0095,3.0
14.0,15.0,2.3,0.43,0.27,1.7,3.7,17.0,1.5,1.3,-1.6,-92.59892953009698,species1_rare,strong,0.84,0.16,20.0
1.4,14.0,1.9,1.6,0.042,0.37,0.046,8.3,10.0,1.3,-37.0,134.93585975067694,species1_rare,strong,1.0,0.001,1.8
3.7,5.8,3.0,2.5,1.2,0.3,0.13,1.9,1.7,2.9,1.1,13.141117547043946,species1_rare,weak,0.71,0.15,1.8
18.0,2.9,2.8,1.5,0.13,0.2,6.0,0.43,2.5,8.1,-16.0,360.25613660670507,species2_rare,strong,0.99,0.008,3.0
7.8,2.0,0.86,2.1,2.2,0.062,7.3,0.24,0.98,5.2,-15.0,-17.442049323569083,species2_rare,strong,0.83,0.087,1.9
17.0,14.0,2.2,2.2,2.3,0.79,1.6,5.5,0.94,2.5,2.9,15.708415225156015,species1_rare,weak,0.81,0.18,9.0
9.9,6.0,1.3,2.0,1.2,0.36,5.5,1.5,1.5,2.8,-2.7,-4.222848696234117,species2_rare,strong,0.83,0.15,5.3
11.0,17.0,2.7,1.9,0.89,2.1,1.3,6.9,2.0,1.3,-2.1,4.428758674223605,species1_rare,strong,0.87,0.13,6.6
13.0,18.0,2.8,1.0,0.61,0.93,1.1,15.0,1.6,2.6,6.7,66.67069432677496,species1_rare,weak,1.0,0.0,7.3
15.0,15.0,1.9,0.95,0.85,0.42,1.4,14.0,1.1,3.7,16.0,140.3811415631714,species1_rare,weak,1.0,0.0,9.4
17.0,18.0,2.6,1.2,0.97,0.094,0.74,14.0,1.2,11.0,65.0,1210.9905768858607,species1_rare,weak,1.0,0.0,6.3
12.0,19.0,1.8,2.7,1.4,0.75,1.0,6.3,1.8,2.2,1.1,44.04842240362498,species1_rare,weak,0.95,0.043,7.3
18.0,18.0,2.9,2.2,2.0,0.55,1.1,7.3,1.1,4.3,9.8,72.56032144726237,species1_rare,weak,0.98,0.017,7.4
7.5,17.0,1.7,1.9,0.58,0.77,1.0,8.1,2.9,1.9,-3.3,51.54978264746202,species1_rare,strong,0.99,0.0095,5.8
13.0,8.9,1.5,2.7,0.23,0.15,7.8,2.5,5.3,5.9,-1.5,12.814752933103458,species2_rare,strong,0.99,0.0065,11.0
13.0,18.0,0.54,1.7,0.23,0.54,20.0,3.8,5.5,1.0,37.0,241.6513596382819,species2_rare,weak,1.0,0.0,20.0
8.8,3.9,0.77,2.6,0.051,0.045,10.0,0.95,3.7,6.1,-11.0,454.28115820248075,species2_rare,strong,1.0,0.0,3.2
17.0,14.0,2.8,2.5,2.8,0.098,0.17,5.4,0.89,11.0,26.0,340.0554880006379,species1_rare,weak,0.97,0.028,5.1
4.1,1.6,1.1,2.9,0.14,0.15,2.7,0.068,1.6,2.9,-1.8,27.815742726432273,species2_rare,strong,0.88,0.04,1.5
5.9,3.3,2.8,2.9,0.18,0.73,1.7,0.37,2.9,2.6,0.2,16.905441405292837,species2_rare,weak,0.68,0.17,1.8
14.0,16.0,2.2,1.7,0.4,2.5,5.6,0.58,3.5,0.9,6.5,56.412156525537426,species2_rare,weak,0.91,0.085,7.8
12.0,17.0,1.4,2.7,0.43,1.7,7.2,1.6,4.8,0.85,11.0,48.482307005183706,species2_rare,weak,0.98,0.018,8.6
16.0,12.0,1.8,2.8,0.6,1.1,8.5,0.76,3.6,1.5,8.0,76.55849260021091,species2_rare,weak,1.0,0.0025,5.7
6.8,18.0,1.6,1.0,0.24,1.9,1.5,14.0,3.7,0.87,-17.0,-11.653007650838141,species1_rare,strong,0.98,0.021,7.7
9.3,15.0,2.4,1.4,0.4,1.2,2.2,7.8,3.0,1.8,-3.3,-7.90483524898575,species1_rare,strong,0.96,0.037,8.5
20.0,8.9,2.4,2.2,1.2,0.7,7.1,1.3,1.7,3.1,-3.9,25.68539364973603,species2_rare,strong,0.97,0.025,6.3
19.0,12.0,0.42,2.4,0.93,0.13,39.0,2.6,2.3,2.8,-10.0,-448.6937578564115,species2_rare,strong,1.0,0.0,12.0
1.4,17.0,0.65,2.3,0.023,1.4,0.42,6.5,14.0,0.75,-41.0,-2.7336808194440745,species1_rare,strong,0.97,0.025,3.1
11.0,18.0,0.74,1.1,0.091,1.2,14.0,0.11,7.2,0.64,45.0,652.9354580884689,species2_rare,weak,1.0,0.0,11.0
8.7,4.9,0.65,2.3,0.47,0.19,11.0,0.77,2.7,2.7,0.26,32.549231121253236,species2_rare,weak,1.0,0.0015,3.9
12.0,18.0,2.8,2.2,0.72,0.84,2.1,7.1,2.7,2.8,0.041,24.596218845610625,species1_rare,weak,0.98,0.022,8.2
19.0,9.2,1.2,1.1,0.74,0.36,13.0,3.0,1.5,2.9,-7.6,48.80168325779439,species2_rare,strong,1.0,0.001,14.0
8.8,9.0,2.3,2.6,0.71,2.2,3.4,0.25,2.8,1.0,2.8,12.017521690863838,species2_rare,weak,0.75,0.2,3.3
8.2,12.0,1.5,0.7,0.022,0.1,4.7,15.0,9.0,5.5,-19.0,-1140.3096962232016,species1_rare,strong,1.0,0.0,74.0
13.0,16.0,1.7,1.9,0.094,1.9,6.9,1.1,9.1,0.89,24.0,335.47998405544683,species2_rare,weak,0.99,0.0095,7.7
3.3,9.7,2.5,0.73,0.082,1.2,0.53,11.0,4.9,1.6,-18.0,-46.84475559141178,species1_rare,strong,0.98,0.0095,2.6
9.8,16.0,1.5,2.9,1.7,1.9,1.2,4.2,1.7,0.81,-1.3,2.2102471074686694,species1_rare,strong,0.58,0.39,5.3
2.5,11.0,0.78,0.41,0.031,0.024,1.0,23.0,6.2,2.4,-41.0,4236.587710324103,species1_rare,strong,1.0,0.0,4.7
18.0,9.6,2.6,0.65,1.2,0.69,1.2,12.0,0.59,3.2,14.0,23.766717505859464,species1_rare,weak,0.95,0.053,11.0
3.6,9.6,1.6,2.4,0.56,1.5,0.5,3.2,3.2,1.0,-2.9,3.942977736748423,species1_rare,strong,0.69,0.24,2.7
15.0,19.0,1.1,0.78,0.53,0.45,2.0,22.0,1.4,2.2,8.0,237.24005015959122,species1_rare,weak,1.0,0.0,14.0
19.0,13.0,2.0,1.6,1.7,1.2,7.3,2.0,0.97,1.6,-1.7,6.435726661079536,species2_rare,strong,0.76,0.24,10.0
17.0,19.0,2.7,1.8,1.6,1.6,0.11,10.0,1.1,1.6,2.3,25.7519729497445,species1_rare,weak,0.91,0.084,8.2
9.1,12.0,2.4,2.4,1.5,2.1,1.1,3.7,1.5,1.1,-0.53,1.3514081382269236,species1_rare,strong,0.6,0.35,4.0
1.6,19.0,1.3,2.0,0.059,0.83,0.092,8.8,12.0,1.2,-48.0,81.17286033173713,species1_rare,strong,1.0,0.001,2.2
9.1,8.2,1.3,2.5,1.1,0.85,5.3,1.1,2.0,1.4,1.1,4.926163623061339,species2_rare,weak,0.81,0.17,4.9
16.0,14.0,1.2,2.6,1.2,0.58,9.3,2.7,2.0,2.0,0.066,-8.062057425875121,species2_rare,weak,0.96,0.036,13.0
1.8,8.0,1.5,1.5,0.0049,0.2,0.5,4.6,7.8,1.6,-13.0,-253.01154506122606,species1_rare,strong,0.96,0.023,2.3
7.6,15.0,2.6,2.0,0.92,1.7,0.018,7.1,2.0,1.4,-2.3,20.40313222182131,species1_rare,strong,0.92,0.064,3.9
9.2,6.8,1.5,1.7,0.55,0.61,4.9,1.6,2.4,2.1,0.48,12.560030930160856,species2_rare,weak,0.87,0.12,6.3
14.0,7.5,1.9,2.9,0.86,0.64,6.3,0.84,2.6,2.6,-0.09,25.309869033704082,species2_rare,strong,0.97,0.028,4.3
15.0,14.0,2.3,2.5,0.3,1.6,6.0,1.6,5.6,1.4,9.1,85.68683950892971,species2_rare,weak,0.97,0.028,7.5
15.0,8.9,1.5,2.8,0.2,0.59,9.4,0.86,5.7,2.3,14.0,272.0374805737762,species2_rare,weak,1.0,0.0005,4.7
9.6,7.9,1.7,1.8,1.9,0.42,1.0,3.7,0.95,3.1,2.9,14.396091030772732,species1_rare,weak,0.74,0.23,4.9
9.8,15.0,2.9,2.1,1.3,1.6,0.024,6.6,1.5,1.7,0.6,18.98214492261647,species1_rare,weak,0.92,0.073,4.2
9.3,10.0,0.7,0.84,0.74,0.67,1.3,10.0,1.1,1.0,-0.33,7.900392607827873,species1_rare,strong,0.65,0.35,14.0
11.0,18.0,0.66,2.6,0.71,0.64,12.0,3.5,3.2,1.0,9.3,-10.30321430578833,species2_rare,weak,0.98,0.024,19.0
11.0,12.0,2.4,0.88,0.15,2.4,4.1,1.1,4.1,0.99,4.7,79.12764015022816,species2_rare,weak,0.78,0.2,8.0
11.0,16.0,2.5,1.1,0.54,1.3,1.3,13.0,1.9,1.7,-0.78,18.976964299603228,species1_rare,strong,0.99,0.015,7.7
5.8,5.5,1.5,2.6,1.5,1.3,3.0,0.26,1.5,1.1,0.55,1.6626769249339026,species2_rare,weak,0.58,0.3,2.2
6.0,14.0,1.9,1.0,0.036,1.6,2.5,8.5,9.4,1.1,-25.0,-366.9309679800645,species1_rare,strong,0.92,0.069,10.0
7.9,2.0,1.7,1.4,1.9,0.068,3.3,0.57,0.85,6.3,-7.5,-11.812658905461422,species2_rare,strong,0.69,0.2,2.2
15.0,5.5,0.86,2.2,1.9,0.24,15.0,0.33,1.1,3.0,-14.0,22.70882283273398,species2_rare,strong,0.98,0.015,4.3
2.0,6.0,1.0,0.64,0.12,1.9,0.041,7.7,3.1,0.71,-9.2,5.830117095568811,species1_rare,strong,0.7,0.22,2.5
11.0,7.1,2.1,1.5,2.2,0.32,0.56,3.9,0.72,4.3,6.0,23.281154139525288,species1_rare,weak,0.8,0.17,4.6
7.9,14.0,0.99,2.5,1.1,0.087,1.1,5.2,2.0,4.9,5.9,286.42516535927456,species1_rare,weak,0.95,0.047,6.8
15.0,15.0,0.96,2.2,1.2,0.93,15.0,0.052,1.8,1.0,5.3,42.34500311767757,species2_rare,weak,0.98,0.024,9.7
7.5,7.9,0.47,1.8,0.52,0.28,12.0,2.0,2.7,1.5,5.6,-7.78222961132517,species2_rare,weak,0.99,0.0085,8.7
17.0,18.0,2.5,2.3,0.88,2.4,6.4,0.64,2.4,1.0,3.9,31.248918887587543,species2_rare,weak,0.91,0.085,8.0
17.0,18.0,2.7,2.0,1.8,0.85,0.072,8.4,1.1,2.9,7.4,59.54068977028934,species1_rare,weak,0.98,0.016,6.5
19.0,15.0,2.8,2.0,0.95,1.9,6.3,0.63,2.0,1.4,1.5,34.52437961164131,species2_rare,weak,0.93,0.068,7.7
15.0,2.8,2.0,1.4,2.1,0.23,6.5,0.19,0.73,5.8,-16.0,13.132414282655317,species2_rare,strong,0.91,0.069,3.1
19.0,13.0,2.6,2.5,0.22,1.0,6.7,2.2,6.4,2.3,9.2,159.85737084028423,species2_rare,weak,0.99,0.01,9.1
8.6,15.0,2.7,2.6,1.1,1.2,0.73,5.1,2.1,2.0,-0.37,15.951850655684005,species1_rare,strong,0.9,0.079,4.2
6.7,13.0,2.2,2.3,1.1,2.6,0.07,5.0,2.0,0.87,-2.7,4.825534943628321,species1_rare,strong,0.7,0.25,3.4
2.0,20.0,2.8,0.89,0.0074,0.89,0.3,21.0,17.0,1.5,-160.0,-922.2356652331795,species1_rare,strong,1.0,0.0,1.8
5.4,3.4,0.92,1.5,0.74,0.23,4.0,0.95,1.6,2.6,-1.5,-1.9359136809499389,species2_rare,strong,0.77,0.18,3.2
6.4,17.0,0.97,0.67,0.14,2.2,3.8,12.0,3.9,0.48,-14.0,-44.92036837396301,species1_rare,strong,0.74,0.26,17.0
19.0,8.1,1.9,0.24,0.22,0.063,6.5,28.0,1.1,12.0,120.0,509.8180377351811,species1_rare,weak,0.98,0.0,130.0
5.6,19.0,0.51,3.0,0.56,1.8,8.0,0.98,4.3,0.32,14.0,6.599181084643887,species2_rare,weak,0.7,0.29,8.4
3.5,12.0,2.6,2.6,0.036,1.8,0.93,3.8,11.0,1.3,-13.0,-86.42356083054328,species1_rare,strong,0.83,0.12,2.6
14.0,6.1,1.6,1.6,2.2,0.57,7.0,0.74,0.75,2.5,-5.4,4.3190947077799,species2_rare,strong,0.74,0.24,5.4
9.0,11.0,2.2,0.7,0.52,0.8,0.26,14.0,1.3,2.3,7.0,56.80769570313046,species1_rare,weak,0.99,0.01,5.9
8.6,5.7,2.0,2.7,1.4,0.66,3.1,0.96,1.6,2.5,-0.89,0.32159299648262335,species2_rare,strong,0.68,0.24,2.9
15.0,11.0,1.5,2.8,1.5,0.57,7.9,1.8,1.8,2.3,-1.8,-2.2385928615479633,species2_rare,strong,0.94,0.059,7.5
8.6,15.0,2.7,1.9,0.91,2.7,0.35,7.3,1.9,1.0,-3.2,7.096306573975581,species1_rare,strong,0.8,0.18,4.5
6.3,19.0,1.6,3.0,0.65,1.4,0.95,5.8,3.9,1.1,-6.6,18.854849151757044,species1_rare,strong,0.93,0.064,5.3
17.0,13.0,0.86,2.5,1.3,0.29,14.0,3.1,1.7,2.6,-4.7,-77.11567450752038,species2_rare,strong,0.98,0.015,17.0
3.4,5.8,1.3,1.2,0.31,0.57,1.0,3.7,2.5,1.6,-1.2,3.8989549542872863,species1_rare,strong,0.77,0.19,3.6
13.0,6.4,2.7,1.1,2.1,0.85,1.3,4.1,0.56,2.7,3.0,1.8157652355836162,species1_rare,weak,0.61,0.36,4.7
19.0,4.0,1.4,0.66,0.15,0.13,13.0,2.1,2.4,7.0,-25.0,562.5412502373258,species2_rare,strong,1.0,0.0,8.5
7.1,15.0,2.0,3.0,0.91,1.0,1.0,4.5,2.9,1.7,-2.0,16.20501147372955,species1_rare,strong,0.88,0.1,4.6
17.0,20.0,0.74,0.89,0.77,0.53,0.53,21.0,1.2,1.4,2.1,130.6934472862263,species1_rare,weak,1.0,0.004,21.0
4.8,4.1,2.1,0.34,0.16,0.22,1.2,8.3,1.7,3.4,6.3,-8.249765302174508,species1_rare,weak,0.97,0.019,4.4
6.7,9.5,0.77,0.12,0.05,0.49,3.8,57.0,2.0,1.4,-16.0,-851.8660154243701,species1_rare,strong,1.0,0.0005,22.0
14.0,17.0,2.8,0.89,0.32,0.55,2.8,16.0,2.5,4.0,9.9,13.900880953701886,species1_rare,weak,1.0,0.0,13.0
5.1,18.0,2.8,2.1,0.23,1.1,0.86,7.7,6.5,1.9,-16.0,13.629969264785101,species1_rare,strong,0.99,0.007,3.6
5.9,5.3,2.7,1.4,1.3,0.33,0.42,3.0,1.1,3.7,3.4,13.590729973494103,species1_rare,weak,0.8,0.15,2.7
11.0,6.2,1.3,2.6,3.0,0.51,5.5,0.91,0.89,2.2,-3.1,-2.632291648443353,species2_rare,strong,0.64,0.3,3.3
8.4,14.0,2.6,1.3,0.42,2.8,1.8,6.6,2.7,0.95,-4.2,-12.853434336599594,species1_rare,strong,0.74,0.24,5.9
2.5,13.0,3.0,2.5,0.15,0.31,0.26,4.9,7.6,2.2,-13.0,78.3564466988988,species1_rare,strong,0.98,0.013,1.9
6.6,7.6,2.9,2.7,1.8,0.88,0.48,2.3,1.4,2.4,0.96,4.581996032230215,species1_rare,weak,0.64,0.25,2.4
6.9,12.0,0.96,2.2,0.6,1.5,5.6,0.9,3.0,0.66,5.4,10.084669835462927,species2_rare,weak,0.78,0.21,6.5
9.1,11.0,1.3,2.6,1.2,1.4,5.8,0.68,1.9,0.92,2.6,5.990007712529543,species2_rare,weak,0.74,0.25,5.3
16.0,10.0,2.8,0.94,0.54,1.7,5.3,0.19,1.6,1.6,0.075,45.97001663117188,species2_rare,weak,0.88,0.12,7.9
8.6,8.1,0.63,2.0,1.4,0.53,10.0,0.9,1.3,1.2,0.77,2.130564739966868,species2_rare,weak,0.76,0.23,6.7
3.4,7.4,1.7,1.9,0.68,0.009,0.11,3.3,2.3,3.4,1.8,1134.2598598024842,species1_rare,weak,0.9,0.061,2.6
15.0,18.0,1.6,0.59,0.12,1.8,8.5,2.2,4.1,0.9,10.0,294.22475296448044,species2_rare,weak,0.99,0.007,19.0
14.0,14.0,2.0,2.3,1.8,0.68,1.5,5.5,1.2,2.6,2.7,23.86763976903051,species1_rare,weak,0.89,0.11,8.1
7.5,5.1,2.8,0.44,0.59,1.0,0.67,7.7,0.79,2.3,5.2,0.3814352055910135,species1_rare,weak,0.76,0.22,4.1
4.7,12.0,0.78,0.68,0.18,0.082,1.3,16.0,3.1,3.4,2.0,861.786827474019,species1_rare,weak,1.0,0.0,6.9
16.0,17.0,3.0,0.96,0.42,0.15,2.8,16.0,2.1,9.2,47.0,555.9197189716049,species1_rare,weak,1.0,0.0,12.0
11.0,15.0,3.0,0.47,0.062,1.1,2.8,22.0,5.3,2.4,-28.0,-1165.417323064534,species1_rare,strong,1.0,0.0,14.0
12.0,15.0,1.5,1.9,1.4,0.38,0.26,7.2,1.3,3.1,6.2,99.15620875493111,species1_rare,weak,0.98,0.016,7.1
20.0,7.0,1.8,2.1,1.0,0.56,10.0,0.11,1.8,2.9,-5.9,78.11245695071702,species2_rare,strong,1.0,0.001,4.4
15.0,8.1,1.0,1.9,0.21,0.29,13.0,1.8,4.5,3.1,7.7,277.77628016797183,species2_rare,weak,1.0,0.0,7.3
13.0,4.2,0.62,2.1,2.5,0.026,14.0,1.4,0.88,8.7,-50.0,-641.7917750586864,species2_rare,strong,0.95,0.046,4.5
